Ref,Soil,Site,Field,Method,Depth.cm_Top,Depth.cm_Bottom,Height.cm,Dia.cm,Ksat,Units_Ksat,Stdev_Ksat,Ksat_cmhr,Stdev_Ksat_cmhr,Db,Stdev_Db,Calculated_Db,Mean_Db,VCOS,COS,MS,FS,VFS,Sand,Silt,Clay,Stdev_Sand,Stdev_Silt,Stdev_Clay,Stdev_Coarsefragment,Coarsefraction,Texclass,TexModifier_code,Texclass_Code,Tex_additional_info,Texture_unknown,Structure,OC,Stdev_OC,OM,Units_OM,Horizon,Th_sat,Ref2,Remark
1,Groseclose,I/1,Lab,Falling Head,,,4,5.4,7.63E-6,m/s,,2.7468,,1.24,,,,3.5,6,5.2,6.3,4.9,25.8,59.4,14.8,,,,,,,,,,,,,,5.5,,,,,
1,Groseclose,I/1,Lab,Falling Head,,,4,5.4,4.31E-6,m/s,,1.5516,,1.45,,,,2.9,3.8,3.6,2.9,3,16.1,36,47.9,,,,,,,,,,,,,,0.7,,,,,
1,Groseclose,I/2,Lab,Falling Head,,,4,5.4,3.74E-6,m/s,,1.3464,,1.35,,,,6.1,4.7,5.2,5.5,5.2,26.9,60.5,12.6,,,,,,,,,,,,,,4.5,,,,,
1,Groseclose,I/2,Lab,Falling Head,,,4,5.4,1.14E-8,m/s,,0.004104,,1.41,,,,1.6,1.4,1.4,1.7,2.5,8.6,34.5,68.2,,,,,,,,,,,,,,0.4,,,,,
1,Groseclose,I/3,Lab,Falling Head,,,4,5.4,1.45E-6,m/s,,0.522,,1.25,,,,6.1,4.5,4.9,6.5,3,25.1,60.9,13.9,,,,,,,,,,,,,,5.2,,,,,
1,Groseclose,I/3,Lab,Falling Head,,,4,5.4,4.26E-8,m/s,,0.015336,,1.57,,,,1.9,2,2.5,3.7,4.3,14.4,51.3,34.2,,,,,,,,,,,,,,0.3,,,,,
1,Groseclose,I/4,Lab,Falling Head,,,4,5.4,3.22E-6,m/s,,1.1592,,1.34,,,,10.3,4.3,4.6,4.8,4.7,28.9,60,11.1,,,,,,,,,,,,,,3.8,,,,,
1,Groseclose,I/4,Lab,Falling Head,,,4,5.4,1.15E-8,m/s,,0.00414,,1.66,,,,2.6,2.7,2.3,3,4,14.7,39.5,45.8,,,,,,,,,,,,,,0.1,,,,,
1,Groseclose,I/5,Lab,Falling Head,,,4,5.4,3.39E-5,m/s,,12.204,,1.48,,,,8,4.2,3.9,5.9,5.1,27.1,59.2,13.7,,,,,,,,,,,,,,3.3,,,,,
1,Groseclose,I/5,Lab,Falling Head,,,4,5.4,4.4E-7,m/s,,0.1584,,1.71,,,,3.5,2.2,2.3,4,4.7,16.8,58.1,25.1,,,,,,,,,,,,,,0.3,,,,,
